,,pid1263-24,pid50848-11,pid610003-26,pid9048-24,pid9054-24,pid9055-24,pid9058-24,pid9061-24,pid9063-24,pid9066-24,pid9072-24,pid9075-24,pid9099-24,pid9101b-06,pid9105b-07,pid9111-24,pid9114b-03,pid9118-24,pid9138-24,pid9139-24,pid9166g-03,pid9174-24,pid9192-24
21,1,0.40618932,0.52923116,0.3618739,0.64832875,0.37509477,0.40750716,0.54715065,0.3995311,0.35584877,0.3772063,0.37215456,0.4237775,0.43050558,0.40719684,0.44482384,0.35746471,0.43608276,0.45090578,0.63004202,0.37296258,0.52087748,0.42496807,0.41241125
21,2,0.28209313,0.47771703,0.21691114,0.52440288,0.2710035,0.3823905,0.49514247,0.30884721,0.36568719,0.19925781,0.32509419,0.41568286,0.38084344,0.32451994,0.35564877,0.20173578,0.47014151,0.32096437,0.51460892,0.32394095,0.36221345,0.37698413,0.26653413
22,0,0.19292206,0.38306696,0.23305759,0.50625815,0.26707675,0.36713876,0.39850712,0.27219322,0.37469586,0.21127419,0.36527644,0.41858863,0.35153464,0.36222801,0.40788522,0.30682037,0.52743418,0.35344131,0.32179218,0.33645039,0.37549364,0.41881044,0.28449304
22,1,0.31350431,0.49363223,0.35505145,0.65066928,0.33145698,0.44391322,0.51193543,0.32397594,0.48384803,0.31203093,0.46812407,0.54884184,0.4675405,0.53773089,0.50213695,0.49615149,0.65749563,0.51952993,0.34537815,0.42762788,0.55148334,0.50539363,0.394547
22,2,0.4295601,0.57290545,0.44159702,0.73744748,0.35815035,0.53611134,0.59205062,0.35222507,0.54492482,0.46332717,0.5592307,0.64123703,0.57682976,0.63026006,0.67900592,0.66959762,0.73507358,0.58665567,0.4404735,0.56519053,0.58550857,0.56597792,0.50271703
23,0,0.4846875,0.55094213,0.46442379,0.69885091,0.40480652,0.55151044,0.56825553,0.37459966,0.57689812,0.60759652,0.56500482,0.64283935,0.6726207,0.63395895,0.82350414,0.76207592,0.72718047,0.62874604,0.51098901,0.64866461,0.56246388,0.64274311,0.59006911
23,1,0.5554907,0.49887281,0.41977941,0.63595734,0.49238252,0.58573885,0.51380721,0.42018048,0.60437956,0.79754059,0.59928152,0.55875467,0.75354555,0.65319542,0.86677446,0.80266503,0.66414839,0.68583743,0.54951519,0.67070374,0.57024176,0.71036307,0.68354634
23,2,0.61639528,0.53903937,0.36271249,0.69996545,0.55558973,0.63995088,0.55919218,0.47707688,0.64570466,0.81386042,0.73255936,0.58820257,0.77297891,0.69027559,0.90549953,0.81648111,0.62039804,0.71863425,0.59976568,0.62440096,0.60482084,0.74899653,0.70089937
24,0,0.67383355,0.57362887,0.38913525,0.74623006,0.57562406,0.68118707,0.59208093,0.5015925,0.65325348,0.71806199,0.77879611,0.6762308,0.74753725,0.70446606,0.91097191,0.79013763,0.57653493,0.69509731,0.65140595,0.5141229,0.66079513,0.73825488,0.65996403
24,1,0.66672225,0.65407974,0.49233896,0.78415791,0.57010943,0.64917724,0.67574265,0.5369371,0.67053466,0.57464502,0.72091475,0.68438356,0.65121713,0.70242254,0.78199765,0.73816078,0.56835993,0.62172537,0.6914108,0.50243735,0.67123387,0.71366995,0.55967055
24,2,0.54385296,0.73542227,0.55052874,0.71060932,0.56819255,0.60027835,0.76038193,0.55195081,0.68157714,0.45828569,0.52794182,0.64844334,0.55799072,0.64240701,0.7251142,0.71099325,0.57845182,0.55490269,0.6592841,0.52314452,0.58375072,0.71263228,0.47737385
25,0,0.39200248,0.7151245,0.51955768,0.56551832,0.54043345,0.50917724,0.73902698,0.55377333,0.73242248,0.33101183,0.42586524,0.67825654,0.48554913,0.64408521,0.75546108,0.53958096,0.52499295,0.41757021,0.47187298,0.59924476,0.52092564,0.67675835,0.43653318
25,1,0.3079058,0.56366925,0.39683893,0.3716104,0.46227738,0.37095375,0.58397242,0.45763956,0.64682762,0.25472443,0.35819679,0.48424242,0.39337295,0.63813732,0.75400253,0.26535461,0.38940069,0.29725907,0.25984971,0.59060762,0.48399875,0.54771027,0.38132159
25,2,0.1985563,0.29001514,0.22076298,0.2848545,0.31098634,0.23715923,0.30128069,0.35308325,0.49932622,0.21230328,0.20014895,0.18740556,0.25194171,0.50214627,0.61184478,0.082935917,0.28286632,0.23717085,0.14123303,0.46930312,0.31047727,0.29859971,0.22273028
26,0,0.20990816,0.19412853,0.32636875,0.27179207,0.18483656,0.19799427,0.20142467,0.32734672,0.43723875,0.19274028,0.22435819,0.22002491,0.29040137,0.44632052,0.45697843,0.20171824,0.45853865,0.30365681,0.18880899,0.31523515,0.2919476,0.2993181,0.30327558
26,1,0.27881741,0.18233513,0.53303201,0.28976962,0.24468207,0.23197708,0.18994392,0.42688667,0.4100131,0.21812436,0.30294401,0.26390203,0.40779126,0.55823458,0.33680069,0.3661962,0.60979873,0.42017981,0.28133484,0.39610024,0.42907195,0.35176063,0.41273313
26,2,0.34653548,0.26566285,0.58934561,0.35572819,0.24314427,0.28380679,0.27880418,0.51880032,0.42393786,0.31188541,0.39556646,0.34139477,0.4575348,0.64293216,0.30059699,0.47583063,0.62270959,0.5251027,0.34566096,0.574322,0.53695097,0.41236772,0.47496923
27,0,0.43924432,0.39364065,0.56245381,0.50514361,0.28432873,0.32099059,0.40703243,0.5755817,0.47717262,0.46214216,0.43637081,0.37589871,0.50513718,0.75370459,0.46522093,0.54143947,0.58905114,0.60015826,0.44026341,0.72163405,0.64631092,0.45531153,0.54229859
27,1,0.49078629,0.46125505,0.50270055,0.58572495,0.34529719,0.3680393,0.47643225,0.5587897,0.53464346,0.5604977,0.47871725,0.40843504,0.59005129,0.77378588,0.57495138,0.66055931,0.53711451,0.64654185,0.50227052,0.80698936,0.65457041,0.52270343,0.63448831
27,2,0.42601041,0.55898385,0.55855933,0.64157462,0.38053072,0.40996316,0.57684905,0.55180925,0.6022085,0.58987339,0.52125646,0.47191366,0.64855491,0.75105601,0.66161639,0.72030332,0.51947906,0.66760388,0.53974628,0.80795057,0.58530389,0.59578544,0.72409353
28,0,0.34583269,0.59996635,0.65047757,0.65216277,0.42312424,0.41896029,0.61901334,0.538043,0.62045667,0.57239974,0.52312275,0.51799917,0.68142962,0.70065301,0.69225725,0.74854914,0.48546541,0.65381507,0.55499354,0.71980776,0.50955982,0.64079319,0.75672631
28,1,0.34754797,0.61754711,0.68178975,0.63027317,0.47079608,0.42440442,0.63742801,0.56566398,0.63665856,0.55083054,0.47455533,0.48502283,0.63965644,0.67657602,0.69659898,0.73694223,0.46378192,0.62021012,0.58324984,0.66937178,0.47761751,0.67298394,0.78133106
28,2,0.47031006,0.59672779,0.61596737,0.71385264,0.51580001,0.42694228,0.61544407,0.56676104,0.63029509,0.51027006,0.45616402,0.37989207,0.54686966,0.6927301,0.64683868,0.63783642,0.45683599,0.60037713,0.62173562,0.67371095,0.49370304,0.66047482,0.70478084
29,0,0.60523401,0.57824697,0.54627892,0.8078642,0.48362063,0.41956611,0.59743862,0.53076174,0.58203257,0.4303029,0.4697275,0.36685762,0.47760319,0.66783113,0.57809461,0.52959586,0.46988781,0.58756482,0.61440692,0.631816,0.54344057,0.57952472,0.57943766
29,1,0.59641934,0.59615579,0.45778612,0.83591721,0.39044417,0.3671797,0.61580024,0.44520924,0.4883586,0.33341303,0.4198896,0.35215442,0.40727835,0.55193278,0.55819502,0.34008942,0.49856233,0.50776147,0.5291532,0.56244422,0.56076623,0.47287219,0.44153176
29,2,0.31052638,0.43374832,0.33501052,0.6300837,0.23473285,0.28758903,0.44448318,0.29818632,0.27986774,0.20486061,0.25912556,0.22520548,0.3222177,0.36392904,0.54520374,0.20502323,0.55928286,0.39908411,0.45655301,0.39641607,0.37125554,0.27191662,0.31233551
30,0,0.19012281,0.3002103,0.34163398,0.46309196,0.21060725,0.28696684,0.31207184,0.24846501,0.22746896,0.20370678,0.31214405,0.18141968,0.33550436,0.39826929,0.55007688,0.28302797,0.60444269,0.42484342,0.41067388,0.35232406,0.31101907,0.2688264,0.32738805
30,1,0.23918714,0.20583782,0.40172835,0.528014,0.3059867,0.31878837,0.21351925,0.32710785,0.30922079,0.29683375,0.45029352,0.22557078,0.43114874,0.58978925,0.61835738,0.45339704,0.64080735,0.53946394,0.5123788,0.36983179,0.51224475,0.36434957,0.43976143
30,2,0.31849531,0.23229307,0.44621639,0.66214906,0.40437022,0.36377405,0.24014853,0.41119172,0.36307318,0.39230993,0.56772978,0.24936488,0.45155907,0.66394959,0.74155398,0.53625844,0.56480803,0.62436864,0.56612799,0.47523515,0.6257826,0.43827541,0.54666288
31,0,0.3732058,0.25528264,0.46806243,0.74156014,0.51049281,0.36784282,0.26461807,0.44589047,0.36873167,0.49544708,0.59140454,0.28669157,0.46578198,0.65055826,0.86263624,0.59838696,0.47417263,0.60658967,0.63593245,0.56289736,0.63558322,0.46320243,0.62619521
31,1,0.39600481,0.2516319,0.4610552,0.77048248,0.56944425,0.36786738,0.2613595,0.45264974,0.35705908,0.5792811,0.57599229,0.30170195,0.49128877,0.64938238,0.98712179,0.67123696,0.45090489,0.59271668,0.63930187,0.61445932,0.57303506,0.45544837,0.67069014
31,2,0.43531346,0.25325538,0.42624652,0.77536418,0.60897647,0.37119935,0.26283722,0.41959657,0.39459105,0.64409264,0.54068168,0.3290494,0.47577139,0.7275955,1,0.64854914,0.43976433,0.54197252,0.60943762,0.59368349,0.58444905,0.43031609,0.63401496
32,0,0.5138831,0.25446669,0.43565581,0.79082287,0.63417495,0.36231682,0.26404213,0.4109263,0.42806164,0.67589031,0.45802155,0.39373184,0.44042172,0.85322054,0.9208991,0.56705532,0.42316626,0.47454374,0.59525695,0.53212496,0.63790695,0.42349708,0.56073085
