,measure_number,beat_number,pid52932-15,pid5667229-06,pid5667249-19,pid5667291-09,pid9048b-01,pid9049-26,pid9050-26,pid9054-26,pid9058-26,pid9059b-01,pid9060-26,pid9061-26,pid9062-26,pid9063b-01,pid9064-07,pid9066-26,pid9070b-01,pid9072b-01,pid9074f-26,pid9075-26,pid9090-13,pid9099b-01,pid9101b-08,pid9104-26,pid9111-26,pid9113-09,pid9114b-10,pid9118b-01,pid9119-06,pid9124-12,pid9129-21,pid9138-26,pid9174-26,pid917520g-09,pid9192-26
30,11,0,0.58307252,0.61758754,0.6046024,0.6845270999999999,0.45314549,0.86207376,0.54232478,0.55043488,0.52079582,0.74815492,0.72309435,0.6367728,0.52156502,0.48620109999999994,0.49013433,0.59111174,0.67305481,0.4587337,0.55897367,0.86146416,0.53427806,0.65192407,0.6777708,0.65679612,0.73433479,0.67330108,0.45789414,0.61744554,0.76290585,0.40661814,0.55809115,0.6341424,0.41191336,0.7405844,0.4336539000000001
31,11,1,0.58991896,0.63677659,0.62188699,0.68624563,0.49729769,0.82943633,0.58191132,0.5777317,0.52348855,0.78969368,0.75335815,0.63038284,0.51371363,0.49578572,0.51130402,0.58737302,0.62403854,0.46692699,0.56937167,0.88777326,0.52643704,0.68317407,0.70028597,0.69061228,0.72565683,0.69925225,0.43715290000000007,0.607159,0.81888708,0.38459918,0.57910116,0.64226898,0.44996685,0.76943219,0.45498259
32,11,2,0.60497415,0.63767926,0.63170545,0.69397901,0.51186856,0.7973555999999999,0.60000907,0.58861817,0.5191492999999999,0.790804,0.76506447,0.63410568,0.49087802,0.50704396,0.5130971999999999,0.57648138,0.56275605,0.46262464,0.57618695,0.90423233,0.52016994,0.69802428,0.71060891,0.71798465,0.71380693,0.71492193,0.39238354,0.57515141,0.86356671,0.36600900000000003,0.58111005,0.65803778,0.46983718,0.7867228,0.46164375
33,12,0,0.61620791,0.62583534,0.64336487,0.70435156,0.50786193,0.72004175,0.61488802,0.59483901,0.50395335,0.77349618,0.75934617,0.64883036,0.45170873,0.52650222,0.47951464,0.55612302,0.46331471,0.45116798,0.58352078,0.91814947,0.51634352,0.69176136,0.70251796,0.74620263,0.69489497,0.72630306,0.35139597,0.51356775,0.8882290999999999,0.36869074,0.57487693,0.67730477,0.48253886,0.79128246,0.45743702
34,12,1,0.62199245,0.59733566,0.65425722,0.70564046,0.4996469,0.61503132,0.63466316,0.5931109999999999,0.48319184,0.74273398,0.74359389,0.65549814,0.41283736,0.55254739,0.43301863,0.52545147,0.38838959999999995,0.43547870000000005,0.58240959,0.92323335,0.51879562,0.66076963,0.67753365,0.77842155,0.67317015,0.72943699,0.31330235,0.43313749,0.90087156,0.39496217,0.5659441,0.68570045,0.48958963,0.78563931,0.42325211
35,12,2,0.62255135,0.56807891,0.67553055,0.68544774,0.4863371,0.50585943,0.66048599,0.5785380999999999,0.47253237,0.70321991,0.71235907,0.66049897,0.37499124,0.57447238,0.39874541,0.48936936,0.33104202,0.41885503,0.55973466,0.90652008,0.51911496,0.62437371,0.64754133,0.79541184,0.65371955,0.72316912,0.29818278,0.40182591,0.89914759,0.42242122,0.54937272,0.68311716,0.47901717,0.76329244,0.38220544
36,13,0,0.62063714,0.5358812,0.69716185,0.6612041999999999,0.4720833,0.44016701,0.69166742,0.55547492,0.47664866,0.66337927,0.68214922,0.65699839,0.36454609,0.58534749,0.40647573,0.48042466,0.30131163,0.41193779999999997,0.531093,0.86508643,0.52130474,0.58913352,0.61989259,0.80645161,0.63019929,0.70650979,0.31544826,0.42795806,0.88272196,0.45320372,0.5191758,0.67165384,0.45794592,0.71961446,0.36092395
37,13,1,0.61746542,0.50414938,0.71679877,0.63020929,0.47622685,0.41422408,0.72691994,0.53737112,0.49536918,0.63622886,0.654313,0.64821915,0.38347354,0.57153515,0.43042707,0.50134735,0.31023399,0.42411966,0.50540777,0.81412049,0.52311245,0.5928719,0.6126456,0.81709991,0.61745167,0.67126677,0.36179304,0.47921902,0.86308783,0.47622833,0.48037955,0.65184866,0.43318353,0.68870129,0.36386217
38,13,2,0.61258907,0.48501856,0.74906673,0.60658565,0.48555884,0.43732777,0.75299665,0.54927136,0.51717691,0.61924107,0.63527,0.64421848,0.40942867,0.55266837,0.45031048,0.53828301,0.36036758,0.46010041,0.49826251,0.81405694,0.52872377,0.61180914,0.62099463,0.81537739,0.62768568,0.63431933,0.40084627,0.52445087,0.84642276,0.49523992,0.44255201,0.64124643,0.43380977,0.67829532,0.38427636
39,14,0,0.59853989,0.48378831,0.78915878,0.59256736,0.46089933,0.48621434,0.75368574,0.57499568,0.54560501,0.59598981,0.63348978,0.64377396,0.42606905,0.54630327,0.46035357,0.57833663,0.43051575,0.5012412,0.5055694000000001,0.84265379,0.53811017,0.63966296,0.62879961,0.79674288,0.6494105,0.61634044,0.42396766,0.56081533,0.8345465,0.5237142,0.41904875,0.63866315,0.44897222,0.6930578000000001,0.410803
40,14,1,0.58087886,0.48901507,0.81723344,0.57549254,0.39815522,0.53884482,0.73566053,0.60232705,0.56785867,0.57737574,0.64028699,0.64394066,0.43008237,0.54872295,0.46227981,0.60064193,0.5229617,0.53365177,0.50956293,0.87093289,0.54113823,0.671875,0.63176397,0.76453179,0.66730505,0.60820321,0.42801013,0.58707403,0.8268844000000001,0.5500431,0.39423535,0.65217157,0.46518824,0.71481778,0.43252699
41,14,2,0.56900238,0.50058237,0.85011506,0.5577119,0.35942927,0.593389,0.71730891,0.62795922,0.58819141,0.56969499,0.65862869,0.65099739,0.42618297,0.54739212,0.47076416,0.6153781,0.62952797,0.55839202,0.51843895,0.90416878,0.54389256,0.70448089,0.63290089,0.71961322,0.69184272,0.60138553,0.4229476,0.60984362,0.81907863,0.56526195,0.37581388,0.67316076,0.50482576,0.74812365,0.45221547
42,15,0,0.58725024,0.51288491,0.88933777,0.55952249,0.37936153,0.6185595,0.73790008,0.65266978,0.61618215,0.59286134,0.68689648,0.67477913,0.42747108,0.54450867,0.49873907,0.63582816,0.71638734,0.58425493,0.54190181,0.94210727,0.55919252,0.73237345,0.63876683,0.69473066,0.71350769,0.59638223,0.41497601,0.6377835999999999,0.8167800000000001,0.56476391,0.3795617,0.70792745,0.54888381,0.7941379,0.46363207
43,15,1,0.62489171,0.51892699,0.93035029,0.58712944,0.46002738,0.64333333,0.84370296,0.67006509,0.64695138,0.63777023,0.73582565,0.73062177,0.46508062,0.54311063,0.53861361,0.66149831,0.79391142,0.61419706,0.58304263,0.97724962,0.5857094,0.74554494,0.6695543,0.70349984,0.72990604,0.59489773,0.4042087,0.64933562,0.84067618,0.55805,0.41668255,0.75932404,0.59013483,0.85392142,0.47593368
