,measure_number,beat_number,pid1263-06,pid9048-06,pid9054-06,pid9055-06,pid9058-06,pid9059-06,pid9060-06,pid9062-06,pid9063-06,pid9064-05,pid9065-03,pid9066-06,pid9067-06,pid9068-04,pid9072-06,pid9074f-06,pid9075-06,pid9090-02,pid9093-07,pid9097-12,pid9099-06,pid9100b-02,pid9101-06,pid9103-03,pid9104-06,pid9105-06,pid9118-06,pid9139-06,pid9166c-09,pid9170-07,pid9173-11,pid9174-06,pid9186c-06,pid918719b-02,pid9192-06
325,110,0,0.20192002,0.24115575,0.28108226,0.44305686,0.26282646,0.31586153,0.53973487,0.34086411,0.38500842,0.3095288,0.23219032,0.35483634,0.46242577,0.47586351,0.26158572,0.53695178,0.46964953,0.39671087,0.27056348,0.30794024,0.36526595,0.34163255,0.37281936,0.26036524,0.36011404,0.43001679,0.28818166,0.36820835,0.34295257,0.31063625,0.1712766,0.30839061,0.27644407,0.36829371,0.50720205
326,110,1,0.22714385,0.3210872,0.35438851,0.52616998,0.28919535,0.36132717,0.62307746,0.38358938,0.41468722,0.32435049,0.25720494,0.47148099,0.49248353,0.50032214,0.31193264,0.54078838,0.52099688,0.4394522,0.27826205,0.33765389,0.42209545,0.37891845,0.44063028,0.2956864,0.36387908,0.50627624,0.36074012,0.4177763,0.38481286,0.37192159,0.23411923,0.33650837,0.26884405,0.4261653,0.55004699
327,110,2,0.28386216,0.38095011,0.45405484,0.57188645,0.30421447,0.37940356,0.70009717,0.43966415,0.44255925,0.32368888,0.2815247,0.47818876,0.51918978,0.5199308,0.35092512,0.56250658,0.54220405,0.4712838,0.29735913,0.38457601,0.45925599,0.42700366,0.48583755,0.32062972,0.38104806,0.56108312,0.41645959999999993,0.44415122,0.44488156,0.42381748,0.28146444,0.3654996,0.2698842,0.47781914,0.59351559
328,111,0,0.33792162,0.41555598,0.5340708000000001,0.56519478,0.31038158,0.37159923,0.68221127,0.46033471,0.46751069,0.30269485,0.29341436,0.45358139,0.54614008,0.52741156,0.36995519,0.59201836,0.52975078,0.47901442,0.32380177,0.44867893,0.47109111,0.45435204,0.49704558,0.34651134,0.42884424,0.5547649,0.43553934,0.43593262,0.51002532,0.45057198,0.3168296,0.37384966,0.29068719,0.49969546,0.64369073
329,111,1,0.39943999,0.44062262,0.60137821,0.49875543,0.32972907,0.34515173,0.5782482,0.47772223,0.477749,0.27103437,0.3122415,0.39208865,0.58674856,0.53164111,0.40868025,0.62784924,0.47588006,0.4535584,0.37324508,0.51343893,0.47048048,0.46909674,0.48422435,0.38151134,0.53119739,0.49867758,0.44418068,0.41388566,0.58918193,0.48681877,0.37150661,0.35566255,0.32228001,0.49466204,0.70558736
330,111,2,0.46758197,0.47000190000000003,0.67061512,0.40803853,0.37729233,0.36907918,0.52672821,0.51925783,0.49428829999999996,0.22855414,0.37096187,0.34303537,0.61058326,0.5414186,0.48988869999999995,0.65657865,0.44972741,0.40673461,0.41055669,0.57173883,0.49367668,0.50040396,0.48113862,0.42020151,0.64097203,0.44350336,0.48717664,0.47844314,0.65149696,0.553991,0.45368986,0.36150655,0.35352611,0.48487438,0.7675267
331,112,0,0.51497076,0.49715347,0.70627448,0.45813656,0.43891465,0.44427101,0.53080233,0.57223258,0.53100635,0.20986768,0.44866379,0.42766769,0.63135931,0.56228599,0.53672304,0.66513955,0.48718847,0.39523423,0.43151392,0.60345829,0.54378917,0.55695896,0.50201651,0.43126574,0.7076206,0.46860831,0.55119359,0.63688869,0.70615781,0.61261568,0.57514855,0.43315274,0.40097774,0.4473987,0.78202478
332,112,1,0.5416652,0.52231531,0.67815175,0.53021908,0.48342690000000005,0.51616672,0.54544697,0.61188071,0.54302551,0.21708891,0.51373708,0.50031557,0.64552998,0.57150868,0.56092801,0.65505905,0.56372274,0.399253,0.44167685,0.59865127,0.5741443,0.57581062,0.52568936,0.42608942,0.73012942,0.51148195,0.6183831,0.76739101,0.69794502,0.6501928000000001,0.70953613,0.51197396,0.43105887,0.40611623,0.77495942
333,112,2,0.54613584,0.52337205,0.5982590999999999,0.56165715,0.50688309,0.55461284,0.56068157,0.61202942,0.51710918,0.23210424,0.5484024000000001,0.52297813,0.65388432,0.56697489,0.56138335,0.62454675,0.59326324,0.39529214,0.43958588,0.58064739,0.58156034,0.56913175,0.53118552,0.41455290000000006,0.72607476,0.54029177,0.64246572,0.82575061,0.6400038,0.64575835,0.77674909,0.54845217,0.44834616,0.36479993,0.75634344
334,113,0,0.51570018,0.41925933,0.46990425,0.57645555,0.48248312,0.54532612,0.55494864,0.56763404,0.43087035,0.21812167,0.55770016,0.48678262,0.646075,0.53485653,0.51768575,0.54767171,0.54846573,0.38789159999999995,0.41380855,0.54369207,0.55241041,0.52965097,0.49662352,0.38605164,0.69745678,0.5361461,0.62580423,0.81727565,0.5407609,0.56690231,0.79818861,0.54203625,0.45861591,0.31474495,0.71295173
