,,pid1263b-17,pid5667269b-35,pid5667285b-08,pid9048b-21,pid9049b-17,pid9050b-19,pid9054b-19,pid9055b-17,pid9058b-17,pid9059b-21,pid9061b-14,pid9062b-20,pid9063b-23,pid9066b-17,pid9069-17,pid9072b-21,pid9073b-23,pid9074g-17,pid9075b-17,pid9085-18,pid9088-23,pid9094b-25,pid9098-19,pid9099b-23,pid9100b-06,pid9104b-17,pid9114-35,pid9118b-23,pid9137-21,pid9139b-19,pid9153b-19,pid9155b-14,pid9161-04,pid9166b-15,pid9170b-19,pid9174b-17,pid9176-05,pid9192b-19
15,2,14.827483,15.907483,17.487483,15.707483,15.587483,16.827483,15.027483,17.747483,14.087483,16.807483,15.607483,17.184966,16.387483,18.887483,16.267483,15.207483,18.207483,19.607483,15.047483,17.547483,14.307483,15.427483,16.207483,17.567483,17.687483,18.347483,13.467483,19.967483,13.727483,15.547483,13.827483,15.347483,19.447483,15.647483,16.707483,13.267483,15.187483,17.007483
16,0,15.082245,16.206122,17.826122,15.966122,15.942245,17.166122,15.306122,18.066122,14.306122,17.166122,15.882245,17.486122,16.666122,19.422245,16.566122,15.526122,18.546122,19.926122,15.346122,17.882245,14.582245,15.706122,16.482245,17.902245,18.046122,18.686122,13.786122,20.266122,13.986122,15.826122,14.086122,15.646122,19.766122,15.942245,16.986122,13.526122,15.466122,17.326122
16,1,15.333787,16.513787,18.153787,16.213787,16.253787,17.513787,15.613787,18.373787,14.553787,17.493787,16.193787,17.801361,16.973787,19.893787,16.953787,15.973787,18.893787,20.233787,15.653787,18.325147,15.013787,16.073787,16.813787,18.253787,18.313787,19.021361,13.979522,20.621361,14.273787,16.093787,14.291893,15.953787,20.133787,16.253787,17.313787,13.753787,15.793787,17.653787
16,2,15.837596,16.877596,18.737596,16.577596,16.797596,17.937596,15.977596,18.797596,14.937596,18.057596,16.577596,18.377596,17.337596,20.537596,17.477596,16.337596,19.317596,20.680385,16.037596,18.957596,15.497596,16.377596,17.177596,18.677596,18.677596,19.457596,14.217596,21.237596,14.577596,16.457596,14.637596,16.337596,20.617596,16.617596,17.837596,14.097596,16.097596,18.237596
17,0,16.123946,17.223946,19.177891,16.843946,17.083946,18.243946,16.223946,19.123946,15.243946,18.483946,16.883946,18.691837,17.623946,20.837891,17.803946,16.611837,19.623946,21.059728,16.363946,19.305782,15.853673,16.643946,17.477891,19.051837,18.963946,19.783946,14.426973,21.739728,14.843946,16.799728,14.903946,16.617891,21.063946,16.903946,18.137891,14.363946,16.343946,18.733673
17,1,16.409025,17.529025,19.509025,17.169025,17.389025,18.629025,16.569025,19.509025,15.589025,18.849025,17.229025,19.089025,17.949025,21.169025,18.169025,16.989025,20.009025,21.529025,16.663008,19.729025,16.249025,16.929025,17.829025,19.489025,19.329025,20.269025,14.709025,22.049025,15.169025,17.109025,15.189025,17.029025,21.489025,17.229025,18.529025,14.669025,16.709025,19.149025
17,2,16.751519,17.871519,19.931519,17.491519,17.731519,19.031519,16.951519,19.911519,15.931519,19.251519,17.571519,19.551519,18.291519,21.611519,18.511519,17.291519,20.431519,21.991519,16.991519,20.151519,16.54076,17.211519,18.171519,19.871519,19.831519,20.711519,14.990506,22.391519,15.51076,17.431519,15.531519,17.371519,21.891519,17.611519,18.891519,15.011519,17.011519,19.511519
18,0,17.010159,18.130159,20.210159,17.770159,17.99672,19.350159,17.230159,20.210159,16.190159,19.530159,17.850159,19.830159,18.570159,21.89004,18.780079,17.550159,20.710159,22.350159,17.230159,20.430159,16.770159,17.47672,18.450159,20.230079,20.150159,21.010159,15.210159,22.670159,15.750159,17.670159,15.790159,17.730159,22.190159,17.890159,19.170159,15.430159,17.290159,19.810159
18,1,17.295204,18.400136,20.500408,18.000408,18.260408,19.660408,17.560408,20.500408,16.480408,19.820408,18.120408,20.120408,18.860408,22.100408,19.060408,17.820136,21.040408,22.640408,17.500408,20.680136,17.000408,17.715204,18.700408,20.500408,20.380408,21.300408,15.426803,22.880408,15.995204,17.975204,16.000408,18.080408,22.540408,18.180408,19.460408,15.740408,17.540408,20.080408
18,2,17.553243,18.673243,20.833243,18.293243,18.513243,19.993243,17.873243,20.893243,16.773243,20.153243,18.393243,20.353243,19.133243,22.393243,19.313243,18.093243,21.373243,22.893243,17.733243,20.973243,17.193243,17.973243,19.033243,20.836485,20.693243,21.613243,15.673243,23.093243,16.293243,18.253243,16.273243,18.413243,22.793243,18.473243,19.733243,15.973243,17.873243,20.353243
